#V1 V2 V3
5729 402.8899559 4833.633094
5730 402.979001 4833.593701
5731 403.0067001 4833.579191
5732 403.0018972 4833.514943
5734 402.9779354 4833.45897
5735 402.9657326 4833.36839
5736 402.9521491 4833.327263
5737 402.9363494 4833.277948
5739 402.9086876 4833.222806
5740 402.889726 4833.166872
5741 402.8739757 4833.104337
5743 402.8720458 4833.043601
5744 402.8574227 4832.980939
5745 402.8327561 4832.926643
5746 402.8516381 4832.865828
5747 402.8762853 4832.824257
5748 402.8904682 4832.800946
5749 402.9323067 4832.771013
5750 402.9620433 4832.757696
5751 403.0364081 4832.762172
5752 403.0860319 4832.774007
5753 403.1032556 4832.765648
5754 403.147452 4832.709022
5755 403.1837771 4832.649177
5756 403.2082651 4832.59639
5758 403.2081288 4832.53674
5759 403.1914738 4832.472884
5760 403.1809064 4832.439489
5761 403.1299662 4832.470664
5762 403.0825405 4832.493789
5763 403.0646226 4832.498825
5764 404.0299639 4833.166646
5765 404.0359116 4833.232657
5766 404.0451732 4833.310394
5768 404.0456308 4833.381704
5769 404.0375821 4833.433585
5770 404.0496752 4833.506284
5771 404.0436073 4833.550027
5772 404.0330955 4833.604498
5774 404.0321584 4833.674162
5775 404.0288688 4833.73164
5776 404.0278622 4833.768313
5777 404.0258264 4833.823218
5782 404.0489231 4833.380657
5786 404.047239 4833.381348
5787 404.0382672 4833.323824
5788 404.0316022 4833.264044
5789 404.0214173 4833.2232
5790 404.0080024 4833.176515
5791 404.0134783 4833.1871
5792 404.0179866 4833.248355
5793 404.0313674 4833.320812
5794 404.0546523 4833.363913
5796 405.2322225 4831.832394
5797 405.2251082 4831.882704
5798 405.2020727 4831.953902
5799 405.1935105 4831.99879
5800 405.2085785 4832.060117
5801 405.2312772 4832.107673
5802 405.2587903 4832.170491
5804 405.2993859 4832.234234
5805 405.3199021 4832.253051
5806 405.3489411 4832.275523
5807 405.3200697 4832.253493
5808 405.3899985 4832.326375
5810 405.4359266 4832.402263
5811 405.4370285 4832.406024
5812 405.4285694 4832.509674
5814 405.4131174 4832.540885
5816 405.4219439 4832.651733
5817 405.422936 4832.64772
5818 405.4078357 4832.521076
5821 405.4006269 4832.650368
5823 405.4487018 4832.769882
5826 405.5620591 4832.828045
5829 405.6531623 4832.915739
5830 405.6859141 4832.967265
5831 405.6906882 4832.97975
5832 405.6818501 4833.039527
5833 405.6552212 4833.079004
5834 405.6169742 4833.141195
5835 405.5849761 4833.165973
5836 405.5833633 4833.211763
5837 405.5769664 4833.272949
5839 423.0144485 4834.161795
5840 422.9790386 4834.196303
5841 422.9391619 4834.263074
5842 422.899889 4834.263193
5843 422.8714571 4834.301287
5844 422.8614049 4834.345723
5845 422.8036892 4834.354941
5846 422.7504074 4834.370996
5847 422.7165288 4834.377274
5848 422.7103556 4834.36646
5849 422.6649477 4834.372983
5850 422.6391735 4834.4176
5851 422.6201633 4834.447366
5852 422.6345827 4834.452976
5853 422.6135469 4834.460994
5854 422.6472229 4834.423283
5855 422.6766267 4834.371737
5856 422.7302544 4834.378671
5857 422.7927629 4834.365508
5859 422.8390516 4834.372417
5860 422.8673256 4834.334658
5861 422.8976376 4834.27777
5862 422.9560532 4834.245219
5863 422.9760041 4834.184897
5865 423.2332844 4832.984093
5866 423.2376917 4832.988596
5867 423.2423384 4833.035084
5868 423.2919379 4833.069727
5869 423.3412337 4833.084935
5870 423.3725218 4833.09835
5871 423.3910345 4833.137237
5872 423.4253894 4833.179053
5873 423.4850202 4833.21647
5874 423.5328204 4833.220922
5875 423.5818987 4833.231358
5876 423.6164577 4833.220523
5877 423.6693647 4833.220141
5878 423.7175893 4833.198154
5879 423.7730505 4833.223736
5880 423.8302009 4833.241857
5881 423.8713255 4833.233836
5882 423.9129552 4833.213481
5883 423.9354129 4833.209449
5884 423.9989753 4833.19562
5885 424.0319513 4833.215795
5886 424.0986034 4833.232588
5887 424.137853 4833.251249
5888 424.1713452 4833.25298
5889 424.2301985 4833.243538
5890 424.2802347 4833.246082
5891 424.325461 4833.21558
5892 424.3420084 4833.195288
5893 424.3860421 4833.187682
5894 424.4566783 4833.221651
5895 424.5000498 4833.241155
5896 424.5326586 4833.278998
5897 424.5771262 4833.309931
5898 424.6167635 4833.341696
5899 424.6398249 4833.362652
5900 424.5842094 4833.322958
5901 424.5395879 4833.278364
5903 424.4691459 4833.218622
5904 424.412919 4833.189267
5906 424.3500496 4833.185978
5907 424.3090731 4833.22143
5908 424.2386099 4833.238444
5910 424.1601329 4833.245776
5911 424.0968179 4833.217391
5913 424.0245972 4833.193219
5914 423.9497261 4833.184294
5915 423.8948598 4833.203912
5917 423.8335524 4833.2316
5918 423.7702826 4833.207328
5919 423.7214967 4833.194222
5921 423.6469786 4833.216287
5922 423.5686746 4833.224623
5923 423.56747 4833.225081
5924 423.4893269 4833.2122
5925 423.4191668 4833.163907
5927 423.3813855 4833.097582
5929 423.3249175 4833.061796
5930 423.2507268 4833.042097
5931 423.1849791 4833.055291
5932 423.1912594 4833.033226
5934 423.7886655 4834.488605
5935 423.8437248 4834.501085
5936 423.9070257 4834.500809
5937 423.9601588 4834.471548
5939 424.0105964 4834.460533
5940 424.0711523 4834.445739
5941 424.1111434 4834.430846
5942 424.1860538 4834.401783
5943 424.206236 4834.396556
5944 424.2393445 4834.343531
5945 424.2508068 4834.301748
5946 424.2941017 4834.315031
5947 424.3540958 4834.314575
5948 424.3737689 4834.349897
5949 424.4278509 4834.40438
5951 424.5014405 4834.45109
5952 424.5461842 4834.500014
