,Abbrev.,LabID,Elk.Assignment,utm_E,utm_N,lon,lat,CollectionMonth,CollectionDay,CollectionYear,CollectionDate,Sex
132,C16T2S05,Tioga255,70,416462.3021,4812650.169,-124.0326667,43.4621,4,25,2018,4/25/2018,U
133,C16T2S04,Tioga254,71,416424.9061,4812668.405,-124.0331317,43.46226,4,25,2018,4/25/2018,U
134,C16T3S05,Tioga269,72,417551.2109,4812651.75,-124.0192083,43.462235,4,25,2018,4/25/2018,F
135,C16T3S07,Tioga271,73,417571.7023,4812662.792,-124.0189567,43.46233667,4,25,2018,4/25/2018,F
136,C16T3S08,Tioga272,74,417635.4315,4812724.215,-124.0181783,43.46289667,4,25,2018,4/25/2018,F
137,C17T2S02,Tioga276,75,408937.8946,4805689.763,-124.1245033,43.39856,4,26,2018,4/26/2018,F
138,C17T3S01,Tioga277,76,409881.1064,4806096.425,-124.112925,43.402335,4,25,2018,4/25/2018,M
139,C17T3S02,Tioga278,77,409888.4641,4806111.877,-124.1128367,43.402475,4,25,2018,4/25/2018,M
140,C18T3S03,Tioga293,78,421647.3543,4806472.583,-123.9676933,43.40704333,5,2,2018,5/2/2018,F
141,C19T1S01,Tioga438,79,431281.5831,4805998.331,-123.84866,43.40371833,5,8,2018,5/8/2018,F
142,C19T1S04,Tioga441,80,431354.1207,4805910.96,-123.8477533,43.40293833,5,8,2018,5/8/2018,M
143,C19T1S05,Tioga444,81,431386.2461,4805645.551,-123.8473233,43.40055167,5,8,2018,5/8/2018,F
144,C19T3S01,Tioga445,82,433146.1759,4805726.006,-123.8256017,43.401435,5,8,2018,5/8/2018,M
145,C21T1S01,Tioga448,83,408269.0508,4794085.927,-124.13082,43.29401167,5,1,2018,5/1/2018,F
146,C22T1S03,Tioga451,84,431487.28,4794570.75,-123.8446917,43.30084833,5,8,2018,5/8/2018,F
147,C22T2S02,Tioga458,85,432429.614,4794232.348,-123.8330333,43.29788667,5,8,2018,5/8/2018,F
148,C22T2S08,Tioga464,86,432581.9593,4793889.673,-123.8311133,43.294815,5,8,2018,5/8/2018,U
149,C22T3S01,Tioga467,87,433613.4826,4793628.667,-123.8183667,43.29255667,5,8,2018,5/8/2018,F
150,C23T3S02,Tioga360,88,445663.4772,4795898.813,-123.6700583,43.31396333,3,30,2018,3/30/2018,F
151,C23T3S04,Tioga362,89,445591.6608,4795842.748,-123.6709383,43.31345333,3,30,2018,3/30/2018,F
152,C23T3S06,Tioga364,90,445726.8322,4795371.687,-123.669225,43.30922167,3,30,2018,3/30/2018,U
153,C25T1S02,Tioga369,91,415917.0282,4790640.308,-124.0360283,43.26388333,5,4,2018,5/4/2018,F
154,C25T1S03,Tioga370,92,415863.3041,4790650.415,-124.0366917,43.26396833,5,4,2018,5/4/2018,U
155,C25T1S04,Tioga371,93,415803.7654,4790583.771,-124.037415,43.26336167,5,4,2018,5/4/2018,M
156,C27T2S01,Tioga372,94,413274.6468,4787075.566,-124.06802,43.23149,5,4,2018,5/4/2018,F
157,C27T2S03,Tioga374,95,413178.8341,4787246.916,-124.0692267,43.23302167,5,4,2018,5/4/2018,U
158,C28T1S03,Tioga377,96,420239.9335,4781589.482,-123.9814633,43.182865,5,2,2018,5/2/2018,F
159,C28T1S04,Tioga378,97,420226.85,4781594.74,-123.981625,43.33291167,5,2,2018,5/2/2018,F
160,C28T3S08,Tioga396,98,422283.6532,4782217.61,-123.9564067,43.18873333,5,3,2018,5/3/2018,M
161,C28T3S14,Tioga402,99,422127.7057,4782710.312,-123.958395,43.19315333,5,3,2018,5/3/2018,M
162,C30T1S11,Tioga413,100,443622.3417,4782016.721,-123.6938067,43.18881833,4,2,2018,4/2/2018,M
163,C34T2S01,Tioga436,101,422025.3752,4771143.711,-123.9580267,43.08900167,5,3,2018,5/3/2018,M
164,C35T2S01,Tioga484,102,433544.8926,4770220.532,-123.8163983,43.08178667,5,9,2018,5/9/2018,F
165,C35T3S03,Tioga488,103,434813.6425,4770335.095,-123.8008267,43.08292833,5,9,2018,5/9/2018,F
166,C35T3S05,Tioga490,104,434819.6873,4770356.879,-123.800755,43.083125,5,9,2018,5/9/2018,F
167,C35T3S07,Tioga492,105,434833.3148,4770362.857,-123.8005883,43.08318,5,9,2018,5/9/2018,F
168,C35T3S08,Tioga493,106,434821.0467,4770356.866,-123.8007383,43.083125,5,9,2018,5/9/2018,F
169,C35T3S10,Tioga495,107,434821.052,4770357.421,-123.8007383,43.08313,5,9,2018,5/9/2018,F
170,C35T3S11,Tioga496,108,434826.304,4770353.299,-123.8006733,43.08309333,5,9,2018,5/9/2018,F
171,C35T3S12,Tioga497,109,434823.0216,4770350.554,-123.8007133,43.08306833,5,9,2018,5/9/2018,F
172,C35T3S13,Tioga498,110,434800.5273,4770339.292,-123.8009883,43.082965,5,9,2018,5/9/2018,F
173,C36T1S08,Tioga506,111,444550.1691,4770729.587,-123.68126,43.087255,5,10,2018,5/10/2018,F
174,C36T1S09,Tioga507,112,444556.1021,4770725.466,-123.6811867,43.08721833,5,10,2018,5/10/2018,F
175,C36T1S10,Tioga508,113,444623.3538,4770737.507,-123.6803617,43.08733167,5,10,2018,5/10/2018,M
176,C36T2S03,Tioga511,114,445345.6252,4770431.276,-123.6714583,43.08462667,5,10,2018,5/10/2018,F
177,C36T2S04,Tioga512,115,445368.5288,4770428.871,-123.6711767,43.08460667,5,10,2018,5/10/2018,F
178,C37T1S01,Tioga529,116,432787.456,4759935.596,-123.8244617,42.98911333,5,14,2018,5/14/2018,F
179,C37T1S02,Tioga530,117,432776.3557,4759953.475,-123.8246,42.98927333,5,14,2018,5/14/2018,F
180,C37T1S05,Tioga533,118,432794.2376,4759962,-123.8243817,42.98935167,5,18,2018,5/18/2018,F
181,C37T1S09,Tioga542,119,432813.6597,4759947.186,-123.8241417,42.98922,5,14,2018,5/14/2018,F
182,C28T3S13,Tioga401,120,422131.7238,4782706.379,-123.958345,43.19311833,5,3,2018,5/3/2018,U
183,C28T3S12,Tioga400,121,422149.6123,4782707.285,-123.958125,43.19312833,5,3,2018,5/3/2018,F
184,C16T2S03,Tioga253,122,416404.7396,4812673.283,-124.0333817,43.46230167,4,25,2018,4/25/2018,U
