#V1 V2 V3
1468 402.979001 4833.593701
1469 402.9779769 4833.417312
1470 402.909262 4833.212356
1471 402.8720458 4833.043601
1472 402.8516381 4832.865828
1473 402.9945413 4832.75678
1474 403.147452 4832.709022
1475 403.1914738 4832.472884
1476 403.1809064 4832.439489
1477 404.0359116 4833.232657
1478 404.045127 4833.453472
1479 404.0321584 4833.674162
1480 404.0258264 4833.823218
1481 404.0489231 4833.380657
1483 404.0080024 4833.176515
1484 404.0134783 4833.1871
1485 405.2020727 4831.953902
1486 405.2312772 4832.107673
1487 405.3540049 4832.279895
1488 405.4359266 4832.402263
1489 405.4191908 4832.565349
1490 405.422936 4832.64772
1491 405.4006269 4832.650368
1492 405.4487018 4832.769882
1493 405.6531623 4832.915739
1494 405.6542831 4833.081128
1495 405.6169742 4833.141195
1496 422.9790386 4834.196303
1497 422.8357468 4834.35857
1498 422.6649477 4834.372983
1499 422.6239523 4834.461207
1500 422.7302544 4834.378671
1501 422.8976376 4834.27777
1503 423.2303968 4833.02067
1504 423.3910345 4833.137237
1505 423.5328204 4833.220922
1506 423.7558496 4833.214824
1507 423.9354129 4833.209449
1508 424.0986034 4833.232588
1509 424.302152 4833.237059
1510 424.4566783 4833.221651
1511 424.6398249 4833.362652
1512 424.49893 4833.234837
1513 424.3090731 4833.22143
1514 424.1601329 4833.245776
1515 423.9497261 4833.184294
1516 423.7702826 4833.207328
1517 423.56747 4833.225081
1518 423.4191668 4833.163907
1519 423.2507268 4833.042097
1521 423.8437248 4834.501085
1522 424.0711523 4834.445739
1523 424.2393445 4834.343531
1524 424.3737689 4834.349897
1525 424.5004716 4834.450989
1526 424.700022 4834.576478
1527 424.6879087 4834.574948
1528 424.5244756 4834.477155
1529 424.379048 4834.346061
1530 424.2221103 4834.345615
1531 424.0109831 4834.451976
1532 423.9375883 4834.479468
1533 421.0925663 4830.151309
1534 421.0995076 4830.03493
1535 420.9988217 4829.886385
1536 420.9507705 4829.814974
1537 420.9574537 4829.786349
1538 421.0019319 4829.883239
1539 421.0889803 4830.072931
1541 421.0203558 4829.433384
1542 420.8377151 4829.480636
1543 420.673816 4829.474687
1544 420.4779702 4829.524216
1545 420.3237724 4829.614687
1546 420.1543559 4829.653469
1547 419.9910474 4829.744057
1548 419.8177785 4829.804443
1549 419.9877203 4829.735766
1550 420.1889046 4829.640617
1551 420.3467088 4829.602529
1552 420.5355311 4829.505427
1553 420.7120874 4829.483009
1554 420.8986509 4829.433153
1555 420.9762062 4829.433015
1556 420.9017103 4829.04957
1557 420.7282503 4829.000412
1558 420.5883892 4828.905765
1559 420.4370378 4828.81581
1560 420.2850288 4828.793068
1561 420.4590524 4828.834543
1562 420.6020677 4828.915822
1563 420.7592728 4829.030258
1564 420.8144269 4829.053266
1565 431.4976366 4830.243893
1566 431.5805003 4830.409322
1567 431.5385545 4830.607904
1568 431.4097483 4830.494483
1569 431.4956637 4830.429737
1570 431.4772716 4830.288197
1571 431.2579035 4830.235796
1572 431.1421583 4830.146016
1573 431.5010148 4830.408579
1575 431.4563604 4830.279081
1576 431.1432811 4830.145338
1577 431.0491966 4830.106319
1578 430.8580307 4830.074412
1579 430.9072851 4830.085345
1580 431.0629679 4830.135057
1581 431.2381892 4830.21756
1582 431.3971732 4830.275021
1583 431.1432811 4830.145338
1585 430.7756379 4830.08948
1587 431.1485859 4830.15117
1588 431.3991777 4830.273779
1589 431.4606377 4830.271262
1590 431.4652506 4830.130597
1591 431.6029276 4830.187614
1592 431.6711391 4830.332756
1593 431.3991777 4830.273779
1595 431.6514541 4830.222329
1596 431.5859812 4830.116367
1597 431.419719 4830.081191
1598 431.2792118 4829.968892
1599 431.3201688 4829.878836
1600 431.4409505 4829.750866
1601 431.5699377 4829.564612
1602 431.6152225 4829.423532
1603 431.5481201 4829.601266
1604 431.445203 4829.795807
1605 431.3879754 4829.975664
1607 432.6803387 4830.246789
1608 432.554937 4830.253826
1609 432.5189607 4830.262963
1610 432.6245805 4830.262677
1611 432.5229149 4830.279028
1612 442.148624 4829.194044
1613 442.283896 4829.10269
1614 442.3390108 4829.149198
1615 442.1851279 4829.159853
1616 442.0918464 4829.244738
1617 442.0438536 4829.219385
1618 442.2278162 4829.140937
1619 442.3140421 4829.098543
1620 442.0898102 4829.205215
1621 442.0629678 4829.302077
1622 443.2079383 4829.334483
1623 443.2425931 4829.462585
1624 443.4397916 4829.536555
1625 443.5591657 4829.549321
1626 443.3861195 4829.659517
1627 443.51615 4829.558236
1628 443.4111828 4829.531465
1629 443.2279707 4829.432053
1630 443.0979651 4829.393505
1631 442.978474 4829.291559
1632 443.1859537 4829.206607
1634 444.7369329 4829.162207
1635 444.5928466 4829.216042
1636 444.4781664 4829.361158
1637 444.5339778 4829.493978
1638 444.5462672 4829.682137
1639 444.5351528 4829.733432
1640 444.5324792 4829.566407
1641 444.5020008 4829.413385
1642 444.5402729 4829.230805
1643 444.7158653 4829.190925
1644 444.6370009 4829.198018
1645 444.4906639 4829.311185
1646 444.5229276 4829.436092
1647 444.5473904 4829.68135
1648 444.5133765 4829.539798
1649 444.5014863 4829.370739
1650 444.6630344 4829.203912
1652 407.1703971 4826.157032
1653 407.3009804 4826.06425
1654 407.2594032 4826.251886
1655 407.2413572 4826.295791
1656 408.2364117 4825.061099
1657 408.1622693 4824.990133
1658 408.1556784 4825.128186
1659 407.9879437 4825.164141
1660 408.1425858 4825.210121
1661 408.1813472 4825.203925
1662 416.9303829 4826.26046
1663 416.7625317 4826.183676
1664 416.6933227 4826.052797
1665 416.564172 4825.932993
1666 416.436536 4825.980568
1667 416.511772 4825.790688
1668 416.541909 4825.649245
1669 416.594067 4825.564177
1670 416.4965025 4825.28392
1671 416.5254841 4825.412965
1672 416.5510786 4825.633358
1673 416.5289262 4825.832462
1674 416.4632641 4825.974126
1675 416.6513056 4826.043988
1676 416.8008831 4826.189976
1677 416.8613979 4826.218994
1678 415.400009 4825.970676
1679 415.3213765 4826.112738
1680 415.1095334 4826.115637
1681 414.9863717 4826.20306
1682 415.0041601 4826.370674
1683 414.9730548 4826.350075
1684 414.9575013 4826.193207
1685 414.7857398 4826.134849
1686 414.7655024 4826.080011
1687 414.9188503 4826.188921
1688 415.0889139 4826.113343
1689 415.3009856 4826.128546
1690 415.3455026 4826.085774
1691 416.5275028 4825.484362
1692 416.4955817 4825.274823
1693 416.3432886 4825.262946
1694 416.1978418 4825.243212
1695 416.0224965 4825.151098
1696 415.8578592 4825.088958
1697 415.9869196 4825.160541
1698 416.1451138 4825.224321
1699 416.1244585 4825.225801
1700 416.3256765 4825.307708
1702 426.5648051 4822.180207
1703 426.6060661 4822.000706
1704 426.5501974 4821.856478
1705 426.7032323 4821.73918
1706 426.7475023 4821.634955
1707 426.6471936 4821.475771
1708 426.542534 4821.325522
1709 426.4439559 4821.177652
1710 426.5649505 4821.077363
1711 426.66472 4820.927324
1712 426.6384619 4820.949826
1713 426.5258124 4821.148544
1714 426.5090191 4821.260578
1715 426.5821619 4821.410171
1716 426.7052239 4821.551445
1717 426.7589214 4821.674483
1718 426.656795 4821.829767
1719 426.6006671 4822.001987
1720 426.4963976 4822.174735
1722 427.8093007 4822.813715
1723 427.8486862 4822.660011
1724 427.8504293 4822.468837
1725 427.7471463 4822.307448
