#V1 V2 V3
1946 402.979001 4833.593701
1947 403.0018972 4833.514943
1948 402.9521491 4833.327263
1949 402.9086876 4833.222806
1950 402.8739757 4833.104337
1951 402.8327561 4832.926643
1952 402.8904682 4832.800946
1953 403.0364081 4832.762172
1954 403.147452 4832.709022
1955 403.2082651 4832.59639
1956 403.1809064 4832.439489
1957 403.1299662 4832.470664
1958 404.0359116 4833.232657
1959 404.0456308 4833.381704
1960 404.0436073 4833.550027
1961 404.0321584 4833.674162
1962 404.0258264 4833.823218
1964 404.0489231 4833.380657
1965 404.047239 4833.381348
1966 404.0214173 4833.2232
1967 404.0179866 4833.248355
1969 405.2251082 4831.882704
1970 405.2085785 4832.060117
1971 405.2587903 4832.170491
1972 405.3489411 4832.275523
1973 405.3899985 4832.326375
1974 405.4285694 4832.509674
1975 405.4131174 4832.540885
1976 405.4078357 4832.521076
1977 405.4006269 4832.650368
1978 405.4487018 4832.769882
1979 405.5620591 4832.828045
1980 405.6859141 4832.967265
1981 405.6552212 4833.079004
1982 405.5833633 4833.211763
1984 422.9790386 4834.196303
1985 422.8714571 4834.301287
1986 422.7504074 4834.370996
1987 422.6649477 4834.372983
1988 422.6345827 4834.452976
1989 422.6766267 4834.371737
1990 422.7927629 4834.365508
1991 422.8976376 4834.27777
1992 422.9560532 4834.245219
1993 423.2376917 4832.988596
1994 423.3412337 4833.084935
1995 423.4253894 4833.179053
1996 423.5818987 4833.231358
1997 423.7175893 4833.198154
1998 423.8713255 4833.233836
1999 423.9989753 4833.19562
2000 424.137853 4833.251249
2001 424.2802347 4833.246082
2002 424.3860421 4833.187682
2003 424.5326586 4833.278998
2004 424.6398249 4833.362652
2005 424.5395879 4833.278364
2006 424.412919 4833.189267
2007 424.2386099 4833.238444
2008 424.0968179 4833.217391
2009 423.9497261 4833.184294
2010 423.8335524 4833.2316
2011 423.7214967 4833.194222
2012 423.56747 4833.225081
2013 423.4191668 4833.163907
2014 423.3249175 4833.061796
2015 423.2507268 4833.042097
2016 423.8437248 4834.501085
2017 423.9601588 4834.471548
2018 424.1111434 4834.430846
2019 424.2393445 4834.343531
2020 424.3540958 4834.314575
2021 424.4278509 4834.40438
2022 424.5461842 4834.500014
2023 424.700022 4834.576478
2024 424.6880612 4834.574169
2025 424.5828657 4834.527702
2026 424.4733011 4834.43008
2027 424.3365282 4834.301445
2028 424.2221103 4834.345615
2029 424.1108222 4834.423852
2030 423.9375883 4834.479468
2032 421.1031516 4830.173067
2033 421.1205451 4830.046568
2034 421.0554296 4829.971803
2035 420.9817807 4829.864704
2036 420.9613884 4829.791523
2037 420.9381689 4829.718153
2038 420.9264056 4829.836033
2039 421.0154653 4829.90174
2040 421.0889803 4830.072931
2042 421.0203558 4829.433384
2043 420.8936158 4829.437322
2044 420.7821586 4829.471073
2045 420.6605043 4829.475067
2046 420.5125229 4829.511587
2047 420.3973934 4829.602815
2048 420.2617763 4829.640416
2049 420.1512513 4829.657061
2050 420.0192463 4829.740165
2051 419.8912219 4829.791457
2052 419.8884533 4829.78938
2053 420.0376789 4829.729393
2054 420.1406531 4829.668406
2055 420.3012106 4829.617621
2056 420.4028615 4829.573981
2057 420.5355311 4829.505427
2058 420.6811905 4829.477266
2059 420.8196577 4829.448192
2060 420.9762062 4829.433015
2061 420.9743502 4829.433037
2062 420.9017103 4829.04957
2063 420.7796606 4829.041236
2064 420.6739367 4828.946183
2065 420.5517906 4828.895868
2066 420.4468405 4828.825691
2067 420.3159322 4828.785481
2068 420.3593768 4828.794073
2069 420.4590524 4828.834543
2070 420.5715642 4828.902632
2071 420.7092198 4828.988197
2072 420.8144269 4829.053266
2073 420.8694824 4829.054282
2074 431.4898062 4830.196211
2075 431.5286114 4830.345541
2076 431.5815769 4830.498946
2077 431.5385545 4830.607904
2078 431.4097483 4830.494483
2079 431.4242522 4830.468899
2080 431.5222885 4830.374262
2081 431.4562036 4830.279526
2082 431.332872 4830.252244
2083 431.1708981 4830.163048
2084 431.1421583 4830.146016
2085 431.5010148 4830.408579
2087 431.4563604 4830.279081
2089 431.1432811 4830.145338
2090 431.0738281 4830.131835
2091 430.9600563 4830.061697
2092 430.7876426 4830.064254
2093 430.9072851 4830.085345
2094 431.0250742 4830.083242
2095 431.1485167 4830.152282
2096 431.2834297 4830.238533
2097 431.3971732 4830.275021
2098 431.1432811 4830.145338
2100 430.7756379 4830.08948
2103 431.1485859 4830.15117
2105 431.3991777 4830.273779
2106 431.4606377 4830.271262
2107 431.4406445 4830.146843
2108 431.5453732 4830.145994
2109 431.6195015 4830.277747
2110 431.6711391 4830.332756
2111 431.3991777 4830.273779
2114 431.6487456 4830.241572
2115 431.6336626 4830.123545
2116 431.5275857 4830.126738
2117 431.3910933 4830.075264
2118 431.2991446 4829.976907
2119 431.2871584 4829.901834
2120 431.3995059 4829.848701
2121 431.4608316 4829.730114
2122 431.5327172 4829.618084
2123 431.6086651 4829.453144
2124 431.5960389 4829.489038
2125 431.5481201 4829.601266
2126 431.4651388 4829.70941
2127 431.4258734 4829.886195
2128 431.4251225 4830.049369
2130 432.6080528 4830.272062
2131 432.621208 4830.248272
2132 432.5444121 4830.274369
2133 432.5240056 4830.259135
2134 432.6245805 4830.262677
2135 432.5229149 4830.279028
2136 442.148624 4829.194044
2137 442.2278162 4829.140937
2138 442.3069274 4829.12515
2139 442.3016823 4829.125195
2140 442.1840846 4829.160529
2141 442.098652 4829.19181
2142 442.0762897 4829.284191
2143 442.0379669 4829.182561
2144 442.2278162 4829.140937
2145 442.3140421 4829.098543
2146 442.1000161 4829.19091
2147 442.0898102 4829.205215
