#V1 V2 V3
2886 402.9316195 4833.608162
2887 403.0067001 4833.579191
2888 402.9779354 4833.45897
2889 402.9657326 4833.36839
2890 402.9363494 4833.277948
2891 402.90807 4833.213595
2892 402.8739757 4833.104337
2893 402.8574227 4832.980939
2894 402.8327561 4832.926643
2895 402.8762853 4832.824257
2896 402.9620433 4832.757696
2897 403.0364081 4832.762172
2898 403.147452 4832.709022
2899 403.1837771 4832.649177
2900 403.2081288 4832.53674
2901 403.189033 4832.449147
2902 403.1299662 4832.470664
2903 403.0825405 4832.493789
2904 404.0359116 4833.232657
2905 404.0451732 4833.310394
2906 404.0375821 4833.433585
2907 404.0496752 4833.506284
2908 404.0330955 4833.604498
2909 404.0312229 4833.727052
2910 404.0253573 4833.813005
2911 404.0258264 4833.823218
2913 404.0489231 4833.380657
2915 404.0382672 4833.323824
2916 404.0214173 4833.2232
2917 404.0014791 4833.16039
2918 404.0179866 4833.248355
2919 404.0313674 4833.320812
2920 405.2251082 4831.882704
2921 405.2020727 4831.953902
2922 405.2085785 4832.060117
2923 405.2587903 4832.170491
2924 405.3199021 4832.253051
2925 405.3188425 4832.252288
2926 405.3899985 4832.326375
2927 405.4370285 4832.406024
2928 405.4285694 4832.509674
2929 405.4131174 4832.540885
2930 405.422936 4832.64772
2931 405.4078357 4832.521076
2932 405.4006269 4832.650368
2934 405.4487018 4832.769882
2935 405.5620591 4832.828045
2936 405.6531623 4832.915739
2937 405.6859141 4832.967265
2938 405.6818501 4833.039527
2939 405.6169742 4833.141195
2940 405.5833633 4833.211763
2942 422.9790386 4834.196303
2943 422.9391619 4834.263074
2944 422.8714571 4834.301287
2945 422.8036892 4834.354941
2946 422.7050765 4834.384182
2947 422.6391735 4834.4176
2948 422.6126599 4834.461004
2949 422.6332319 4834.440773
2950 422.6810025 4834.366577
2951 422.7927629 4834.365508
2952 422.8673256 4834.334658
2953 422.9560532 4834.245219
2955 423.2422904 4832.981657
2956 423.2863813 4833.063459
2957 423.3574639 4833.093524
2958 423.4261896 4833.178488
2959 423.4850202 4833.21647
2960 423.6164577 4833.220523
2961 423.7175893 4833.198154
2962 423.7842253 4833.227608
2963 423.8835181 4833.227922
2964 423.9684389 4833.191412
2965 424.0319513 4833.215795
2966 424.1713452 4833.25298
2967 424.2538948 4833.242048
2968 424.3420084 4833.195288
2969 424.4387023 4833.208303
2970 424.5000498 4833.241155
2971 424.6013583 4833.334539
2972 424.5842094 4833.322958
2973 424.5395879 4833.278364
2974 424.4691459 4833.218622
2975 424.3500496 4833.185978
2976 424.3090731 4833.22143
2977 424.1658664 4833.246377
2978 424.0968179 4833.217391
2979 424.0245972 4833.193219
2980 423.8948598 4833.203912
2981 423.8155631 4833.231361
2982 423.7214967 4833.194222
2983 423.6469786 4833.216287
2984 423.4893269 4833.2122
2985 423.4191668 4833.163907
2986 423.3813855 4833.097582
2987 423.2507268 4833.042097
2988 423.1849791 4833.055291
2990 423.7886655 4834.488605
2991 423.9070257 4834.500809
2992 424.0105964 4834.460533
2993 424.1083528 4834.433654
2994 424.1962577 4834.398446
2995 424.2508068 4834.301748
2996 424.3416141 4834.309051
2997 424.4041061 4834.372658
2998 424.4866184 4834.44537
2999 424.5461842 4834.500014
3000 424.6424142 4834.559466
3001 424.7404109 4834.596906
3002 424.7189295 4834.57982
3003 424.6507517 4834.56226
3004 424.5244756 4834.477155
3005 424.4733011 4834.43008
3006 424.379048 4834.346061
3007 424.3365282 4834.301445
3008 424.2221103 4834.345615
3009 424.1767193 4834.403555
3010 424.0903642 4834.433192
3011 424.0109831 4834.451976
3012 423.8668029 4834.495269
3014 421.1199882 4830.191196
3015 421.1078199 4830.110365
3016 421.1222436 4830.026332
3017 421.0714303 4829.994274
3018 421.0380683 4829.922911
3019 420.9772255 4829.861648
3020 420.9511564 4829.806639
3021 420.9483388 4829.773016
3022 420.9455565 4829.742392
3023 420.9324507 4829.835407
3024 420.9676648 4829.837879
3025 421.0295935 4829.922789
3026 421.0578737 4830.014872
3027 421.0976522 4830.130922
3029 421.070754 4829.436678
3030 420.9639636 4829.441935
3031 420.863865 4829.439784
3032 420.8021815 4829.478612
3033 420.7156667 4829.485411
3034 420.6181508 4829.483233
3035 420.525242 4829.508882
3036 420.4481972 4829.565556
3037 420.3771825 4829.593058
3038 420.2847084 4829.634701
3039 420.2157734 4829.633411
3040 420.1324321 4829.689608
3041 420.0416818 4829.733455
3042 419.9635154 4829.756493
3043 419.8540071 4829.790458
3044 419.8884533 4829.78938
3045 419.9495418 4829.762213
3046 420.0376789 4829.729393
3047 420.1381015 4829.670991
3048 420.1889046 4829.640617
3049 420.3012106 4829.617621
3050 420.3969431 4829.578495
3051 420.4789335 4829.516984
3052 420.5996516 4829.495337
3053 420.6764152 4829.4761
3054 420.7425813 4829.481982
3055 420.860436 4829.415943
3056 420.8986509 4829.433153
3057 421.0366165 4829.42986
3059 420.9447576 4829.017849
3060 420.8572386 4829.056315
3061 420.7547065 4829.026314
3062 420.6927064 4828.963622
3063 420.6227644 4828.925573
3064 420.5448399 4828.895062
3065 420.4861041 4828.835666
3066 420.3726304 4828.788695
3067 420.3147335 4828.786495
3068 420.3415049 4828.791175
3069 420.3982662 4828.806496
3070 420.5171325 4828.83863
3071 420.5627482 4828.90107
3072 420.6650419 4828.937958
3073 420.7092198 4828.988197
3074 420.8144269 4829.053266
3075 420.9254134 4829.033739
3077 431.4898062 4830.196211
3078 431.5021009 4830.29383
3079 431.5462277 4830.379682
3080 431.5728076 4830.454051
3081 431.5760481 4830.534324
3082 431.5062053 4830.592684
3083 431.4369292 4830.540744
3084 431.4042697 4830.432228
3085 431.4706723 4830.439767
3086 431.5149452 4830.397885
3087 431.50281 4830.292156
3088 431.4252515 4830.282731
3089 431.332872 4830.252244
3090 431.2579035 4830.235796
3091 431.1708981 4830.163048
3092 431.1421583 4830.146016
3094 431.5010148 4830.408579
3097 431.4563604 4830.279081
3099 431.1432811 4830.145338
3101 431.0738281 4830.131835
3102 431.0135188 4830.073809
3103 430.9008573 4830.08019
3104 430.809662 4830.071135
3105 430.8175182 4830.073942
3106 430.9072851 4830.085345
3107 431.0250742 4830.083242
3108 431.0629679 4830.135057
3109 431.1919897 4830.173939
3110 431.2381892 4830.21756
3111 431.3432176 4830.261801
3112 431.3971732 4830.275021
3113 431.1432811 4830.145338
3117 430.7756379 4830.08948
3120 431.1485859 4830.15117
3124 431.3991777 4830.273779
3125 431.4606377 4830.271262
3126 431.4388411 4830.207174
3127 431.4230714 4830.101261
3128 431.5453732 4830.145994
3129 431.6029276 4830.187614
3130 431.6195015 4830.277747
3131 431.6711391 4830.332756
3133 431.3991777 4830.273779
3135 431.6715335 4830.331864
3137 431.6531674 4830.271627
3138 431.6731304 4830.187786
3139 431.6338958 4830.114767
3140 431.5275857 4830.126738
3141 431.4674848 4830.112358
3142 431.3826236 4830.0598
3143 431.3272244 4829.992502
3144 431.2690652 4829.939451
3145 431.2893159 4829.876154
3146 431.3695793 4829.865557
3147 431.4080198 4829.781748
3148 431.4581428 4829.703928
3149 431.5233615 4829.634397
3150 431.5699377 4829.564612
3151 431.6086651 4829.453144
3152 431.5960389 4829.489038
3153 431.5697276 4829.559838
3154 431.5005388 4829.651624
3155 431.4651388 4829.70941
3156 431.445203 4829.795807
3157 431.4148274 4829.926517
3158 431.3879754 4829.975664
3159 431.4422752 4830.116947
3161 432.6080528 4830.272062
3162 432.6803387 4830.246789
3163 432.6149595 4830.252777
3164 432.5277574 4830.255099
3165 432.5130265 4830.306674
3166 432.5413493 4830.234636
3167 432.6245805 4830.262677
3168 432.5229149 4830.279028
3169 432.5518278 4830.233531
3170 442.148624 4829.194044
3171 442.2190173 4829.121909
3172 442.2521235 4829.133508
3173 442.3138134 4829.1001
3174 442.3731131 4829.173451
3175 442.3016823 4829.125195
3176 442.2111279 4829.142858
3177 442.1281839 4829.182003
3178 442.0968756 4829.210374
3179 442.09185 4829.263842
3180 442.0514558 4829.277297
3181 442.0386768 4829.180666
3182 442.0884715 4829.153024
3183 442.2278162 4829.140937
3184 442.3140421 4829.098543
3186 442.1000161 4829.19091
3187 442.0629678 4829.302077
3189 442.0893467 4829.151573
3190 443.223124 4829.288594
3191 443.1790627 4829.355164
3192 443.2242338 4829.438638
3193 443.2720556 4829.482661
3194 443.3548159 4829.526499
3195 443.4489959 4829.51804
3196 443.5056307 4829.545218
3197 443.5164587 4829.556567
3198 443.4402414 4829.608968
3199 443.3945232 4829.651338
3200 443.4853002 4829.593594
3201 443.5520716 4829.550158
3202 443.4242225 4829.527579
3203 443.3625415 4829.533542
3204 443.2770583 4829.482618
3205 443.1783329 4829.392823
3206 443.1360336 4829.429168
3207 443.0342586 4829.33218
3208 442.978474 4829.291559
3209 443.0323118 4829.226571
3210 443.0991242 4829.178355
3211 443.1853898 4829.206723
3213 444.7781866 4829.144651
3214 444.7002678 4829.188166
3215 444.6375658 4829.207787
3216 444.5390855 4829.233592
3217 444.4890584 4829.312198
3218 444.4686052 4829.414883
3219 444.5199322 4829.444669
3220 444.5310657 4829.541873
3221 444.5393707 4829.658092
3222 444.5167917 4829.718367
3223 444.5427298 4829.771465
3224 444.5700406 4829.68816
3225 444.5394482 4829.589451
3226 444.4909648 4829.522879
3227 444.5003039 4829.461825
3228 444.4771211 4829.361611
3229 444.5004593 4829.295443
3230 444.5825319 4829.227568
3231 444.6624705 4829.204027
3232 444.7251634 4829.183295
