OBJECTID,Transect,Elevation,UTM_X,UTM_Y,Date,Time
1868,C01T2,124,404054.9749,4833363.908,4/12/2019,5:24:00
1869,C01T2,119,404054.2251,4833362.252,4/12/2019,5:26:00
1870,C01T2,116,404054.8953,4833358.355,4/12/2019,5:27:00
1871,C01T3,110.17,405231.7039,4831829.957,4/12/2019,5:52:00
1872,C01T3,109,405231.1503,4831830.742,4/12/2019,5:52:00
1873,C01T3,109,405230.9858,4831830.523,4/12/2019,5:52:00
1874,C01T3,109,405232.2225,4831832.394,4/12/2019,5:53:00
1875,C01T3,115,405225.1082,4831882.704,4/12/2019,5:54:00
1876,C01T3,117,405202.0727,4831953.902,4/12/2019,5:55:00
1877,C01T3,117,405193.5105,4831998.79,4/12/2019,5:56:00
1878,C01T3,123,405208.5785,4832060.117,4/12/2019,5:57:00
1879,C01T3,128,405231.2772,4832107.673,4/12/2019,5:58:00
1880,C01T3,143,405258.7903,4832170.491,4/12/2019,5:59:00
1881,C01T3,147,405299.3859,4832234.234,4/12/2019,6:00:00
1882,C01T3,150,405319.9021,4832253.051,4/12/2019,6:01:00
1883,C01T3,153.1,405354.0049,4832279.895,4/12/2019,6:02:00
1884,C01T3,154,405353.687,4832280.233,4/12/2019,6:02:00
1885,C01T3,154,405348.9411,4832275.523,4/12/2019,6:02:00
1886,C01T3,150,405318.8425,4832252.288,4/12/2019,6:03:00
1887,C01T3,152,405320.0697,4832253.493,4/12/2019,6:04:00
1888,C01T3,142,405389.9985,4832326.375,4/12/2019,6:05:00
1889,C01T3,138,405435.9266,4832402.263,4/12/2019,6:06:00
1890,C01T3,156,405437.0285,4832406.024,4/12/2019,6:07:00
1891,C01T3,143,405428.5694,4832509.674,4/12/2019,6:08:00
1892,C01T3,147,405419.1908,4832565.349,4/12/2019,6:09:00
1893,C01T3,141,405413.1174,4832540.885,4/12/2019,6:10:00
1894,C01T3,156,405421.9439,4832651.733,4/12/2019,6:11:00
1895,C01T3,159.24,405423.3816,4832650.713,4/12/2019,6:12:00
1896,C01T3,158,405421.626,4832652.071,4/12/2019,6:12:00
1897,C01T3,157,405422.936,4832647.72,4/12/2019,6:12:00
1898,C01T3,139,405407.8357,4832521.076,4/12/2019,6:13:00
1899,C01T3,155,405400.6269,4832650.368,4/12/2019,6:14:00
1900,C01T3,168,405448.7018,4832769.882,4/12/2019,6:15:00
1901,C01T3,184,405562.0591,4832828.045,4/12/2019,6:16:00
1902,C01T3,182,405653.1623,4832915.739,4/12/2019,6:17:00
1903,C01T3,186,405685.9141,4832967.265,4/12/2019,6:18:00
1904,C01T3,197,405690.336,4832966.203,4/12/2019,6:19:00
1905,C01T3,211,405690.6882,4832979.75,4/12/2019,6:20:00
1906,C01T3,191,405681.8501,4833039.527,4/12/2019,6:21:00
1907,C01T3,193,405655.2212,4833079.004,4/12/2019,6:22:00
1908,C01T3,194.11,405654.3497,4833080.127,4/12/2019,6:22:00
1909,C01T3,194,405654.2831,4833081.128,4/12/2019,6:22:00
1910,C01T3,186,405616.9742,4833141.195,4/12/2019,6:23:00
1911,C01T3,181,405584.9761,4833165.973,4/12/2019,6:24:00
1912,C01T3,174,405583.3633,4833211.763,4/12/2019,6:25:00
1913,C01T3,159,405576.9664,4833272.949,4/12/2019,6:26:00
1914,C01T3,159,405575.1585,4833276.307,4/12/2019,6:26:00
1915,C01T3,159.24,405575.7911,4833275.409,4/12/2019,6:26:00
17033,C02T1,403.23,423028.8658,4834153.187,5/6/2019,8:35:00
17034,C02T1,404,423027.344,4834154.093,5/6/2019,8:35:00
17035,C02T1,409,423027.1738,4834153.317,5/6/2019,8:35:00
17036,C02T1,409,423014.4485,4834161.795,5/6/2019,8:36:00
17037,C02T1,409,422979.0386,4834196.303,5/6/2019,8:37:00
17038,C02T1,401,422939.1619,4834263.074,5/6/2019,8:38:00
17039,C02T1,406,422899.889,4834263.193,5/6/2019,8:39:00
17040,C02T1,396,422871.4571,4834301.287,5/6/2019,8:40:00
17041,C02T1,404,422861.4049,4834345.723,5/6/2019,8:41:00
17042,C02T1,385,422835.7468,4834358.57,5/6/2019,8:42:00
17043,C02T1,384,422803.6892,4834354.941,5/6/2019,8:43:00
17044,C02T1,373,422750.4074,4834370.996,5/6/2019,8:44:00
17045,C02T1,369.85,422716.5288,4834377.274,5/6/2019,8:45:00
17046,C02T1,370,422716.205,4834377.167,5/6/2019,8:45:00
17047,C02T1,365,422700.0107,4834385.462,5/6/2019,8:45:00
17048,C02T1,368,422705.0765,4834384.182,5/6/2019,8:46:00
17049,C02T1,368,422710.3556,4834366.46,5/6/2019,8:47:00
17050,C02T1,358,422664.9477,4834372.983,5/6/2019,8:48:00
17051,C02T1,344,422639.1735,4834417.6,5/6/2019,8:49:00
17052,C02T1,349,422626.8899,4834436.292,5/6/2019,8:50:00
17053,C02T1,347,422613.8637,4834446.551,5/6/2019,8:51:00
17054,C02T1,334.49,422615.2997,4834445.201,5/6/2019,8:55:00
17055,C02T1,335,422614.2604,4834445.991,5/6/2019,8:55:00
17056,C02T1,333,422615.6453,4834447.196,5/6/2019,8:55:00
17057,C02T1,346,422620.216,4834451.92,5/6/2019,8:56:00
17058,C02T1,344,422620.1633,4834447.366,5/6/2019,8:57:00
17059,C02T1,350,422612.0431,4834463.455,5/6/2019,8:58:00
17060,C02T1,353,422615.0828,4834461.31,5/6/2019,8:59:00
17061,C02T1,347,422616.1143,4834459.854,5/6/2019,9:03:00
17062,C02T1,352,422612.6599,4834461.004,5/6/2019,9:04:00
17063,C02T1,346,422613.8643,4834460.546,5/6/2019,9:05:00
17064,C02T1,346.96,422620.5041,4834455.915,5/6/2019,9:05:00
17065,C02T1,347,422619.2178,4834456.263,5/6/2019,9:05:00
17066,C02T1,349,422620.2571,4834455.474,5/6/2019,9:06:00
17067,C02T1,347,422624.6803,4834454.423,5/6/2019,9:07:00
17068,C02T1,343,422623.6167,4834453.102,5/6/2019,9:09:00
17069,C02T1,341,422634.5827,4834452.976,5/6/2019,9:10:00
17070,C02T1,343,422635.0472,4834451.304,5/6/2019,9:13:00
17071,C02T1,342,422627.3299,4834460.39,5/6/2019,9:14:00
17072,C02T1,347,422625.3449,4834463.079,5/6/2019,9:17:00
17073,C02T1,347,422623.9523,4834461.207,5/6/2019,9:18:00
