OBJECTID,Transect,Elevation,UTM_X,UTM_Y,Date,Time
3026,C06T2,143,408020.2817,4825184.248,4/22/2019,7:46:00
3027,C06T2,147,408050.8753,4825194.937,4/22/2019,7:47:00
3028,C06T2,149,408076.2232,4825211.807,4/22/2019,7:48:00
3029,C06T2,150,408097.5185,4825221.735,4/22/2019,7:49:00
3030,C06T2,149.01,408097.9924,4825220.951,4/22/2019,7:50:00
3031,C06T2,148,408097.5185,4825221.735,4/22/2019,7:50:00
3032,C06T2,149,408097.0569,4825223.408,4/22/2019,7:50:00
3033,C06T2,146,408115.2536,4825225.269,4/22/2019,7:51:00
3034,C06T2,146,408142.5858,4825210.121,4/22/2019,7:52:00
3035,C06T2,147,408164.4805,4825198.935,4/22/2019,7:53:00
3036,C06T2,141,408181.3472,4825203.925,4/22/2019,7:54:00
3037,C06T2,147,408194.687,4825204.965,4/22/2019,7:55:00
3038,C06T2,147,408197.8285,4825204.366,4/22/2019,7:56:00
3039,C06T2,148,408230.0578,4825216.589,4/22/2019,7:57:00
3040,C06T2,152,408245.0903,4825217.383,4/22/2019,7:58:00
3041,C06T2,150,408268.9048,4825204.839,4/22/2019,7:59:00
3042,C06T2,151.06,408295.4791,4825211.029,4/22/2019,8:00:00
3043,C06T2,150,408293.9495,4825211.383,4/22/2019,8:00:00
3044,C06T2,155.15,408318.088,4825210.72,4/22/2019,8:00:00
3045,C06T2,155,408316.7945,4825210.627,4/22/2019,8:00:00
14321,C07T3,334.49,416987.8906,4826346.722,4/19/2019,2:58:00
14322,C07T3,335,416987.5801,4826347.726,4/19/2019,2:58:00
14323,C07T3,336,416987.4186,4826347.728,4/19/2019,2:58:00
14324,C07T3,336,416978.0881,4826324.517,4/19/2019,2:59:00
14325,C07T3,329,416960.9042,4826293.072,4/19/2019,3:00:00
14326,C07T3,328,416930.3829,4826260.46,4/19/2019,3:01:00
14327,C07T3,327,416919.57,4826254.485,4/19/2019,3:02:00
14328,C07T3,325,416879.4283,4826233.989,4/19/2019,3:03:00
14329,C07T3,329,416853.2719,4826208.32,4/19/2019,3:04:00
14330,C07T3,324,416843.7151,4826205.995,4/19/2019,3:05:00
14331,C07T3,334,416812.4202,4826195.72,4/19/2019,3:06:00
14332,C07T3,329,416792.4172,4826190.969,4/19/2019,3:07:00
14333,C07T3,334,416762.3702,4826183.678,4/19/2019,3:08:00
14334,C07T3,322.04,416762.3592,4826182.789,4/19/2019,3:08:00
14335,C07T3,322,416762.5317,4826183.676,4/19/2019,3:08:00
14336,C07T3,336,416755.5952,4826164.767,4/19/2019,3:09:00
14337,C07T3,342,416741.1082,4826162.059,4/19/2019,3:10:00
14338,C07T3,337,416737.999,4826158.765,4/19/2019,3:11:00
14339,C07T3,340,416736.3579,4826169.671,4/19/2019,3:12:00
14340,C07T3,332,416746.2853,4826169.326,4/19/2019,3:13:00
14341,C07T3,337,416712.5254,4826142.642,4/19/2019,3:14:00
14342,C07T3,347,416698.126,4826127.492,4/19/2019,3:15:00
14343,C07T3,348,416698.1703,4826118.05,4/19/2019,3:16:00
14344,C07T3,351,416698.2394,4826110.607,4/19/2019,3:17:00
14345,C07T3,355,416695.8395,4826099.418,4/19/2019,3:17:00
14346,C07T3,357.36,416697.1196,4826091.96,4/19/2019,3:18:00
14347,C07T3,357,416696.8091,4826092.963,4/19/2019,3:18:00
14348,C07T3,356,416699.5652,4826080.822,4/19/2019,3:18:00
14349,C07T3,357,416700.2201,4826075.038,4/19/2019,3:19:00
14350,C07T3,357,416693.3227,4826052.797,4/19/2019,3:20:00
14351,C07T3,350,416685.6882,4826049.226,4/19/2019,3:21:00
14352,C07T3,373,416673.2896,4826039.161,4/19/2019,3:22:00
14353,C07T3,363,416681.5253,4826032.616,4/19/2019,3:23:00
14354,C07T3,357,416668.9383,4826026.885,4/19/2019,3:24:00
14355,C07T3,358,416657.9371,4826005.806,4/19/2019,3:25:00
14356,C07T3,360,416643.5787,4825993.988,4/19/2019,3:26:00
14357,C07T3,362,416631.3497,4825984.587,4/19/2019,3:27:00
14358,C07T3,363.61,416624.6356,4825977.117,4/19/2019,3:28:00
14359,C07T3,363,416624.4879,4825978.23,4/19/2019,3:28:00
14360,C07T3,363,416617.3708,4825964.323,4/19/2019,3:28:00
14361,C07T3,364,416597.5236,4825952.684,4/19/2019,3:30:00
14362,C07T3,367,416586.7912,4825953.262,4/19/2019,3:31:00
14363,C07T3,372,416579.8715,4825955.236,4/19/2019,3:33:00
14364,C07T3,371,416564.172,4825932.993,4/19/2019,3:34:00
14365,C07T3,368,416562.0603,4825919.024,4/19/2019,3:34:00
14366,C07T3,366,416569.1486,4825930.599,4/19/2019,3:36:00
14367,C07T3,357,416565.6769,4825930.642,4/19/2019,3:37:00
14368,C07T3,340.73,416565.1215,4825931.427,4/19/2019,3:38:00
14369,C07T3,342,416563.4315,4825931.892,4/19/2019,3:38:00
14370,C07T3,354,416559.924,4825929.048,4/19/2019,3:38:00
14371,C07T3,354,416559.1069,4825928.28,4/19/2019,3:39:00
14372,C07T3,350,416557.7179,4825926.964,4/19/2019,3:41:00
14373,C07T3,357,416436.536,4825980.568,4/19/2019,3:43:00
14374,C07T3,354,416505.7031,4825925.945,4/19/2019,3:44:00
14375,C07T3,358,416514.1332,4825909.068,4/19/2019,3:45:00
14376,C07T3,362,416535.3935,4825891.475,4/19/2019,3:46:00
14377,C07T3,364,416539.8745,4825875.202,4/19/2019,3:47:00
14378,C07T3,349,416533.8771,4825866.946,4/19/2019,3:48:00
14379,C07T3,353,416532.9531,4825864.069,4/19/2019,3:50:00
14380,C07T3,351.12,416527.6034,4825836.477,4/19/2019,3:51:00
14381,C07T3,352,416526.431,4825839.602,4/19/2019,3:51:00
14382,C07T3,352,416526.0818,4825837.496,4/19/2019,3:51:00
14383,C07T3,349,416511.772,4825790.688,4/19/2019,3:52:00
14384,C07T3,348,416511.5619,4825773.807,4/19/2019,3:53:00
14385,C07T3,345,416536.6107,4825723.177,4/19/2019,3:54:00
14386,C07T3,346,416531.8462,4825703.687,4/19/2019,3:55:00
14387,C07T3,337,416541.3432,4825655.694,4/19/2019,3:56:00
14388,C07T3,337,416541.909,4825649.245,4/19/2019,3:57:00
14389,C07T3,336,416576.2415,4825591.835,4/19/2019,3:58:00
14390,C07T3,346,416581.1632,4825597.994,4/19/2019,3:59:00
14391,C07T3,357,416594.6757,4825574.167,4/19/2019,4:00:00
14392,C07T3,349.04,416595.3789,4825572.269,4/19/2019,4:01:00
14393,C07T3,349,416595.3941,4825573.491,4/19/2019,4:01:00
14394,C07T3,349,416595.3941,4825573.491,4/19/2019,4:01:00
14395,C07T3,350,416597.4961,4825573.687,4/19/2019,4:03:00
14396,C07T3,351,416613.2473,4825561.051,4/19/2019,4:04:00
14397,C07T3,341,416618.4361,4825556.21,4/19/2019,4:05:00
14398,C07T3,329,416611.5021,4825557.074,4/19/2019,4:06:00
14399,C07T3,340,416598.9294,4825565.561,4/19/2019,4:07:00
14400,C07T3,334.49,416595.2753,4825563.94,4/19/2019,4:07:00
14401,C07T3,335,416594.067,4825564.177,4/19/2019,4:07:00
14482,C07T3,301.32,416496.5025,4825283.92,4/19/2019,5:20:00
14483,C07T3,299,416495.056,4825284.493,4/19/2019,5:20:00
14484,C07T3,298,416494.8973,4825284.717,4/19/2019,5:21:00
14485,C07T3,318,416533.4493,4825345.664,4/19/2019,5:22:00
14486,C07T3,321,416525.4841,4825412.965,4/19/2019,5:23:00
14487,C07T3,330,416527.3704,4825486.697,4/19/2019,5:24:00
14488,C07T3,336,416565.994,4825540.533,4/19/2019,5:25:00
14489,C07T3,340,416586.2228,4825576.271,4/19/2019,5:26:00
14490,C07T3,341,416551.0786,4825633.358,4/19/2019,5:27:00
14491,C07T3,336,416529.0334,4825698.279,4/19/2019,5:28:00
14492,C07T3,334,416514.3682,4825759.221,4/19/2019,5:29:00
14493,C07T3,343,416528.9262,4825832.462,4/19/2019,5:30:00
14494,C07T3,347,416533.0621,4825859.847,4/19/2019,5:30:00
14495,C07T3,350,416528.1136,4825903.451,4/19/2019,5:31:00
14496,C07T3,343,416486.434,4825954.288,4/19/2019,5:32:00
14497,C07T3,329,416463.2641,4825974.126,4/19/2019,5:33:00
14498,C07T3,335,416538.5786,4825978.743,4/19/2019,5:34:00
14499,C07T3,338,416608.2236,4825994.983,4/19/2019,5:35:00
14500,C07T3,346,416651.3056,4826043.988,4/19/2019,5:36:00
14501,C07T3,344,416692.1927,4826098.352,4/19/2019,5:37:00
14502,C07T3,340,416730.4217,4826166.302,4/19/2019,5:38:00
14503,C07T3,340,416800.8831,4826189.976,4/19/2019,5:39:00
14504,C07T3,328,416861.3979,4826218.994,4/19/2019,5:40:00
14505,C07T3,326,416889.4955,4826238.418,4/19/2019,5:40:00
14506,C07T3,325,416922.4818,4826254.893,4/19/2019,5:41:00
14507,C07T3,319,416970.555,4826316.057,4/19/2019,5:42:00
14508,C07T3,311,416978.3369,4826344.619,4/19/2019,5:42:00
14513,C07T1,349.04,415445.8404,4826070.513,4/19/2019,6:11:00
14514,C07T1,349,415444.5598,4826071.418,4/19/2019,6:11:00
14515,C07T1,349,415444.5598,4826071.418,4/19/2019,6:11:00
14516,C07T1,357,415444.369,4826069.088,4/19/2019,6:12:00
14517,C07T1,366,415433.0858,4826013.135,4/19/2019,6:13:00
14518,C07T1,374,415400.009,4825970.676,4/19/2019,6:14:00
14519,C07T1,345,415384.12,4825978.541,4/19/2019,6:15:00
14520,C07T1,353,415367.5217,4825994.19,4/19/2019,6:16:00
14521,C07T1,332,415373.6696,4826039.877,4/19/2019,6:18:00
14522,C07T1,354,415349.7953,4826067.614,4/19/2019,6:19:00
14523,C07T1,359,415340.4202,4826098.946,4/19/2019,6:20:00
14524,C07T1,359,415321.3765,4826112.738,4/19/2019,6:21:00
14525,C07T1,352,415288.9892,4826137.695,4/19/2019,6:22:00
14526,C07T1,351.12,415289.0601,4826136.916,4/19/2019,6:22:00
14527,C07T1,351,415287.5668,4826140.156,4/19/2019,6:22:00
14528,C07T1,347,415272.2905,4826145.348,4/19/2019,6:23:00
14529,C07T1,341,415209.0544,4826138.038,4/19/2019,6:24:00
14530,C07T1,346,415159.7486,4826127.665,4/19/2019,6:25:00
14531,C07T1,348,415109.5334,4826115.637,4/19/2019,6:26:00
14532,C07T1,343,415070.9592,4826104.684,4/19/2019,6:27:00
14533,C07T1,343,415026.5212,4826140.792,4/19/2019,6:28:00
14534,C07T1,335,415024.3422,4826147.262,4/19/2019,6:29:00
14535,C07T1,338,415019.824,4826147.541,4/19/2019,6:30:00
14536,C07T1,336,415011.8257,4826147.198,4/19/2019,6:31:00
14537,C07T1,336.57,414998.1348,4826150.038,4/19/2019,6:32:00
14538,C07T1,337,414997.1688,4826150.272,4/19/2019,6:32:00
14539,C07T1,337,414993.4278,4826154.541,4/19/2019,6:32:00
14540,C07T1,337,414986.3717,4826203.06,4/19/2019,6:33:00
14541,C07T1,339,414993.8791,4826247.507,4/19/2019,6:34:00
14542,C07T1,323,415022.2387,4826280.805,4/19/2019,6:35:00
14543,C07T1,321,415002.5403,4826312.934,4/19/2019,6:36:00
14544,C07T1,309,414983.4865,4826344.944,4/19/2019,6:37:00
14545,C07T1,310,415004.1601,4826370.674,4/19/2019,6:38:00
14546,C07T1,309,414997.8899,4826423.849,4/19/2019,6:39:00
14547,C07T1,307,415000.7364,4826444.585,4/19/2019,6:39:00
14548,C07T1,306,415007.2647,4826456.388,4/19/2019,6:40:00
14549,C07T1,305.46,415007.2618,4826456.165,4/19/2019,6:42:00
14550,C07T1,305,415006.6244,4826456.84,4/19/2019,6:42:00
14551,C07T1,305,415001.5861,4826428.801,4/19/2019,6:42:00
14552,C07T1,304,414995.7057,4826391.664,4/19/2019,6:43:00
14553,C07T1,308,414973.0548,4826350.075,4/19/2019,6:44:00
14554,C07T1,306,415021.549,4826296.476,4/19/2019,6:45:00
14555,C07T1,307,415003.8413,4826269.042,4/19/2019,6:46:00
14556,C07T1,309,414988.3358,4826243.357,4/19/2019,6:47:00
14557,C07T1,311,414957.5013,4826193.207,4/19/2019,6:48:00
14558,C07T1,327,414906.5348,4826191.965,4/19/2019,6:49:00
14559,C07T1,319,414877.9454,4826191.55,4/19/2019,6:50:00
14560,C07T1,311,414832.5769,4826179.685,4/19/2019,6:51:00
14561,C07T1,309.6,414798.8547,4826150.233,4/19/2019,6:52:00
14562,C07T1,309,414798.291,4826150.351,4/19/2019,6:52:00
14563,C07T1,308,414785.7398,4826134.849,4/19/2019,6:52:00
14564,C07T1,313,414776.6104,4826096.309,4/19/2019,6:53:00
14565,C07T1,315,414757.4355,4826061.563,4/19/2019,6:54:00
14566,C07T1,298,414742.1033,4826055.982,4/19/2019,6:55:00
14567,C07T1,297,414703.3817,4826058.918,4/19/2019,6:56:00
14568,C07T1,293,414715.9,4826052.76,4/19/2019,6:57:00
14569,C07T1,303,414765.5024,4826080.011,4/19/2019,6:58:00
14570,C07T1,311,414797.7653,4826153.468,4/19/2019,6:59:00
14571,C07T1,321,414854.8603,4826185.845,4/19/2019,7:00:00
14572,C07T1,327,414918.8503,4826188.921,4/19/2019,7:01:00
14573,C07T1,326.19,414962.1524,4826177.93,4/19/2019,7:02:00
14574,C07T1,326,414960.6297,4826178.838,4/19/2019,7:02:00
14575,C07T1,324,414970.7857,4826171.045,4/19/2019,7:02:00
14576,C07T1,327,415026.4129,4826132.24,4/19/2019,7:03:00
14577,C07T1,330,415088.9139,4826113.343,4/19/2019,7:04:00
14578,C07T1,332,415165.2321,4826120.708,4/19/2019,7:05:00
14579,C07T1,333,415240.7476,4826147.635,4/19/2019,7:06:00
14580,C07T1,334,415300.9856,4826128.546,4/19/2019,7:07:00
14581,C07T1,336,415345.5026,4826085.774,4/19/2019,7:08:00
14582,C07T1,355,415361.1982,4825998.602,4/19/2019,7:09:00
14583,C07T1,342.8,415401.4151,4825973.324,4/19/2019,7:09:00
14584,C07T1,343,415400.3795,4825974.448,4/19/2019,7:09:00
14402,C07T2,324.12,416581.3348,4825553.339,4/19/2019,4:12:00
14403,C07T2,332.42,416528.4648,4825483.795,4/19/2019,4:14:00
14404,C07T2,328,416527.5028,4825484.362,4/19/2019,4:14:00
14405,C07T2,334,416516.9019,4825456.614,4/19/2019,4:14:00
14406,C07T2,339,416510.8309,4825442.471,4/19/2019,4:15:00
14407,C07T2,338,416521.846,4825419.119,4/19/2019,4:16:00
14408,C07T2,340,416536.9746,4825369.39,4/19/2019,4:17:00
14409,C07T2,322,416524.9938,4825328.107,4/19/2019,4:18:00
14410,C07T2,315,416495.5817,4825274.823,4/19/2019,4:19:00
14411,C07T2,317,416480.6222,4825286.228,4/19/2019,4:20:00
14412,C07T2,320,416446.8966,4825301.643,4/19/2019,4:21:00
14413,C07T2,310,416413.2642,4825318.057,4/19/2019,4:22:00
14414,C07T2,318,416343.2886,4825262.946,4/19/2019,4:23:00
14415,C07T2,331,416329.2408,4825302.109,4/19/2019,4:24:00
14416,C07T2,299,416320.3063,4825298,4/19/2019,4:24:00
14417,C07T2,302,416310.3797,4825266.133,4/19/2019,4:25:00
14418,C07T2,297,416294.6714,4825256.332,4/19/2019,4:26:00
14419,C07T2,274,416263.1494,4825254.171,4/19/2019,4:27:00
14420,C07T2,270,416228.4089,4825246.496,4/19/2019,4:28:00
14421,C07T2,266,416197.8418,4825243.212,4/19/2019,4:29:00
14422,C07T2,252,416170.4043,4825238.334,4/19/2019,4:30:00
14423,C07T2,248,416148.5775,4825223.611,4/19/2019,4:31:00
14424,C07T2,242,416127.9046,4825210.762,4/19/2019,4:32:00
14425,C07T2,241,416094.6833,4825182.519,4/19/2019,4:33:00
14426,C07T2,254,416064.0182,4825184.347,4/19/2019,4:34:00
14427,C07T2,249,416046.2464,4825164.575,4/19/2019,4:34:00
14428,C07T2,238,416034.8141,4825160.941,4/19/2019,4:35:00
14429,C07T2,236,416022.4965,4825151.098,4/19/2019,4:36:00
14430,C07T2,233,416002.3865,4825163.902,4/19/2019,4:37:00
14431,C07T2,224,415959.6168,4825147.109,4/19/2019,4:38:00
14432,C07T2,222,415932.2915,4825138.343,4/19/2019,4:39:00
14433,C07T2,217,415900.4903,4825120.414,4/19/2019,4:40:00
14434,C07T2,216,415857.8592,4825088.958,4/19/2019,4:41:00
14435,C07T2,215,415850.2704,4825069.836,4/19/2019,4:42:00
14436,C07T2,211,415844.2534,4825073.022,4/19/2019,4:43:00
14437,C07T2,207,415845.6818,4825077.447,4/19/2019,4:44:00
14438,C07T2,201,415844.2854,4825075.576,4/19/2019,4:44:00
14439,C07T2,217,415844.2854,4825075.576,4/19/2019,4:45:00
14440,C07T2,221,415844.1031,4825073.912,4/19/2019,4:46:00
14441,C07T2,212,415845.6191,4825072.449,4/19/2019,4:47:00
14442,C07T2,215,415844.9592,4825071.347,4/19/2019,4:50:00
14443,C07T2,218,415850.2008,4825077.168,4/19/2019,4:51:00
14444,C07T2,218,415849.7581,4825080.506,4/19/2019,4:52:00
14445,C07T2,212,415848.6096,4825085.519,4/19/2019,4:53:00
14446,C07T2,206,415848.0569,4825086.526,4/19/2019,4:54:00
14447,C07T2,213,415848.3047,4825086.967,4/19/2019,4:55:00
14448,C07T2,214,415847.5877,4825087.754,4/19/2019,4:57:00
14449,C07T2,217,415845.0986,4825095.338,4/19/2019,4:58:00
14450,C07T2,220,415844.0586,4825096.129,4/19/2019,4:59:00
14451,C07T2,225,415864.4874,4825095.872,4/19/2019,5:00:00
14452,C07T2,229,415920.1658,4825124.499,4/19/2019,5:01:00
14453,C07T2,238,415947.3519,4825141.487,4/19/2019,5:02:00
14454,C07T2,230,415986.9196,4825160.541,4/19/2019,5:03:00
14455,C07T2,237,416037.4188,4825162.575,4/19/2019,5:04:00
14456,C07T2,239,416070.6212,4825182.82,4/19/2019,5:04:00
14457,C07T2,240,416091.6717,4825193.554,4/19/2019,5:05:00
14458,C07T2,243,416145.1138,4825224.321,4/19/2019,5:06:00
14459,C07T2,244,416174.8186,4825242.611,4/19/2019,5:07:00
14460,C07T2,244,416146.7886,4825222.633,4/19/2019,5:08:00
14461,C07T2,267,416133.8484,4825227.572,4/19/2019,5:09:00
14462,C07T2,260,416105.992,4825215.035,4/19/2019,5:10:00
14463,C07T2,262,416089.4437,4825209.132,4/19/2019,5:11:00
14464,C07T2,258,416078.8273,4825206.155,4/19/2019,5:12:00
14465,C07T2,258,416124.4585,4825225.801,4/19/2019,5:13:00
14466,C07T2,265,416183.1644,4825244.839,4/19/2019,5:14:00
14467,C07T2,265,416212.4243,4825246.917,4/19/2019,5:14:00
14468,C07T2,264,416241.154,4825245.337,4/19/2019,5:15:00
14469,C07T2,265,416294.1626,4825267.335,4/19/2019,5:16:00
14470,C07T2,267,416325.6765,4825307.708,4/19/2019,5:17:00
14471,C07T2,328,416402.0447,4825305.534,4/19/2019,5:18:00
14472,C07T2,308,416440.0895,4825312.725,4/19/2019,5:19:00
14473,C07T2,304,416494.1485,4825282.949,4/19/2019,5:20:00
14474,C07T2,302,416494.9739,4825284.383,4/19/2019,5:20:00
15063,C08T1,580.22,426501.3887,4822254.32,4/24/2019,5:23:00
15064,C08T1,580,426500.8378,4822255.659,4/24/2019,5:23:00
15065,C08T1,580,426500.6763,4822255.661,4/24/2019,5:23:00
15066,C08T1,596,426513.8249,4822239.078,4/24/2019,5:24:00
15067,C08T1,587,426550.5357,4822190.36,4/24/2019,5:25:00
15068,C08T1,578,426564.8051,4822180.207,4/24/2019,5:26:00
15069,C08T1,582,426583.3008,4822157.568,4/24/2019,5:27:00
15070,C08T1,576,426601.0125,4822129.717,4/24/2019,5:28:00
15071,C08T1,563,426619.0237,4822107.084,4/24/2019,5:29:00
15072,C08T1,560,426617.4116,4822070.447,4/24/2019,5:30:00
15073,C08T1,557,426617.8397,4822035.677,4/24/2019,5:31:00
15074,C08T1,564,426606.0661,4822000.706,4/24/2019,5:32:00
15075,C08T1,553,426595.02,4821973.17,4/24/2019,5:33:00
15076,C08T1,554.74,426595.3055,4821969.724,4/24/2019,5:33:00
15077,C08T1,555,426593.7767,4821970.296,4/24/2019,5:33:00
15078,C08T1,563,426591.1504,4821966.548,4/24/2019,5:34:00
15079,C08T1,552,426549.4408,4821957.229,4/24/2019,5:35:00
15080,C08T1,563,426539.781,4821930.9,4/24/2019,5:36:00
15081,C08T1,552,426541.5091,4821904.223,4/24/2019,5:37:00
15082,C08T1,558,426539.7811,4821886.582,4/24/2019,5:38:00
15083,C08T1,547,426541.313,4821864.128,4/24/2019,5:39:00
15084,C08T1,546,426539.4471,4821856.04,4/24/2019,5:40:00
15085,C08T1,537,426550.1974,4821856.478,4/24/2019,5:41:00
15086,C08T1,548,426575.0551,4821846.654,4/24/2019,5:41:00
15087,C08T1,555,426596.467,4821839.422,4/24/2019,5:42:00
15088,C08T1,556.86,426600.7839,4821827.824,4/24/2019,5:43:00
15089,C08T1,557,426598.9308,4821828.288,4/24/2019,5:43:00
15090,C08T1,560,426614.5011,4821804.015,4/24/2019,5:43:00
15091,C08T1,559,426649.7102,4821772.863,4/24/2019,5:44:00
15092,C08T1,546,426660.6055,4821756.972,4/24/2019,5:45:00
15093,C08T1,543,426663.6918,4821751.052,4/24/2019,5:46:00
15094,C08T1,538,426669.865,4821746.652,4/24/2019,5:47:00
15095,C08T1,531,426681.8259,4821746.966,4/24/2019,5:48:00
15096,C08T1,533,426703.2323,4821739.18,4/24/2019,5:49:00
15097,C08T1,538,426719.8166,4821748.551,4/24/2019,5:50:00
15098,C08T1,541,426722.8343,4821743.742,4/24/2019,5:51:00
15099,C08T1,543,426730.3998,4821733.663,4/24/2019,5:52:00
15100,C08T1,544.15,426734.8838,4821729.949,4/24/2019,5:53:00
15101,C08T1,543,426733.4333,4821730.298,4/24/2019,5:53:00
15102,C08T1,545,426724.3095,4821730.841,4/24/2019,5:53:00
15103,C08T1,541,426725.6804,4821730.604,4/24/2019,5:55:00
15104,C08T1,539,426724.4868,4821732.283,4/24/2019,5:56:00
15105,C08T1,547,426723.1256,4821733.409,4/24/2019,5:58:00
15106,C08T1,555,426740.6835,4821706.116,4/24/2019,5:59:00
15107,C08T1,548,426748.0303,4821683.377,4/24/2019,6:00:00
15108,C08T1,556,426757.9468,4821666.608,4/24/2019,6:01:00
15109,C08T1,564,426757.8166,4821639.841,4/24/2019,6:02:00
15110,C08T1,569.6,426754.8057,4821637.874,4/24/2019,6:03:00
15111,C08T1,569,426754.1607,4821637.992,4/24/2019,6:03:00
15112,C08T1,569,426747.5023,4821634.955,4/24/2019,6:03:00
15113,C08T1,566,426706.6182,4821605.189,4/24/2019,6:04:00
15114,C08T1,564,426710.136,4821594.376,4/24/2019,6:05:00
15115,C08T1,563,426705.2829,4821549.445,4/24/2019,6:06:00
15116,C08T1,550,426688.057,4821525.752,4/24/2019,6:07:00
15117,C08T1,543,426678.0628,4821513.199,4/24/2019,6:08:00
15118,C08T1,559,426690.1114,4821521.509,4/24/2019,6:10:00
15119,C08T1,577,426684.3537,4821519.572,4/24/2019,6:11:00
15120,C08T1,576,426668.218,4821499.533,4/24/2019,6:12:00
15121,C08T1,575.97,426647.1936,4821475.771,4/24/2019,6:13:00
15122,C08T1,576,426645.7491,4821476.675,4/24/2019,6:13:00
15123,C08T1,575,426645.2596,4821476.236,4/24/2019,6:13:00
15124,C08T1,570,426643.2734,4821471.926,4/24/2019,6:14:00
15125,C08T1,572,426631.3279,4821458.284,4/24/2019,6:15:00
15126,C08T1,574,426627.1968,4821457.329,4/24/2019,6:16:00
15127,C08T1,578,426610.693,4821455.399,4/24/2019,6:17:00
15128,C08T1,581,426608.8938,4821453.419,4/24/2019,6:18:00
15129,C08T1,582,426595.4499,4821428.353,4/24/2019,6:19:00
15130,C08T1,590,426593.5784,4821427.151,4/24/2019,6:20:00
15131,C08T1,594,426592.5099,4821425.497,4/24/2019,6:21:00
15132,C08T1,600,426564.8885,4821389.589,4/24/2019,6:22:00
15133,C08T1,603.64,426559.2304,4821367.214,4/24/2019,6:23:00
15134,C08T1,604,426559.392,4821367.212,4/24/2019,6:23:00
15135,C08T1,607,426551.103,4821348.087,4/24/2019,6:23:00
15136,C08T1,618,426542.534,4821325.522,4/24/2019,6:24:00
15137,C08T1,625,426535.6664,4821303.383,4/24/2019,6:25:00
15138,C08T1,632,426513.4437,4821266.194,4/24/2019,6:26:00
15139,C08T1,629,426509.29,4821255.799,4/24/2019,6:27:00
15140,C08T1,623,426497.8305,4821220.159,4/24/2019,6:28:00
15141,C08T1,626,426492.4065,4821219.218,4/24/2019,6:29:00
15142,C08T1,622,426492.3786,4821216.664,4/24/2019,6:31:00
15143,C08T1,621,426490.377,4821218.352,4/24/2019,6:32:00
15144,C08T1,622.84,426488.3093,4821221.374,4/24/2019,6:33:00
15145,C08T1,624,426488.6227,4821220.481,4/24/2019,6:33:00
15146,C08T1,623,426486.9419,4821221.944,4/24/2019,6:33:00
15147,C08T1,619,426461.9544,4821220.107,4/24/2019,6:34:00
15148,C08T1,618,426448.5242,4821211.146,4/24/2019,6:35:00
15149,C08T1,609,426448.5375,4821212.368,4/24/2019,6:36:00
15150,C08T1,620,426443.9559,4821177.652,4/24/2019,6:37:00
15151,C08T1,608,426510.0349,4821161.379,4/24/2019,6:38:00
15152,C08T1,597,426549.8763,4821147.17,4/24/2019,6:39:00
15153,C08T1,606,426556.3994,4821122.996,4/24/2019,6:40:00
15154,C08T1,597,426564.9505,4821077.363,4/24/2019,6:41:00
15155,C08T1,597,426583.5334,4821032.841,4/24/2019,6:42:00
15156,C08T1,595.12,426605.647,4821000.833,4/24/2019,6:43:00
15157,C08T1,595,426604.1253,4821002.071,4/24/2019,6:43:00
15158,C08T1,591,426608.5588,4820993.693,4/24/2019,6:43:00
15159,C08T1,590,426608.3717,4820991.362,4/24/2019,6:44:00
15160,C08T1,588,426607.3214,4820991.374,4/24/2019,6:45:00
15161,C08T1,586,426607.4648,4820989.706,4/24/2019,6:46:00
15162,C08T1,584,426629.2923,4820968.475,4/24/2019,6:47:00
15163,C08T1,596,426629.9314,4820967.801,4/24/2019,6:50:00
15164,C08T1,590,426643.2207,4820956.438,4/24/2019,6:51:00
15165,C08T1,586,426644.7449,4820955.422,4/24/2019,6:52:00
15166,C08T1,586,426643.8271,4820952.766,4/24/2019,6:53:00
15167,C08T1,584.47,426644.9449,4820951.532,4/24/2019,6:53:00
15168,C08T1,584,426643.6655,4820952.768,4/24/2019,6:53:00
15169,C08T1,576,426655.1544,4820939.314,4/24/2019,6:54:00
15170,C08T1,578,426661.4123,4820927.805,4/24/2019,6:55:00
15171,C08T1,581,426658.7308,4820933.832,4/24/2019,6:56:00
15172,C08T1,575,426664.72,4820927.324,4/24/2019,6:57:00
15173,C08T1,584,426666.2527,4820927.086,4/24/2019,6:58:00
15174,C08T1,586,426671.0616,4820923.479,4/24/2019,6:59:00
15175,C08T1,580,426677.4646,4820917.855,4/24/2019,7:00:00
15176,C08T1,586,426677.9336,4820916.406,4/24/2019,7:01:00
15177,C08T1,579,426685.2455,4820905.219,4/24/2019,7:02:00
15178,C08T1,582,426696.3739,4820888.326,4/24/2019,7:03:00
15179,C08T1,586.6,426709.9734,4820875.737,4/24/2019,7:04:00
15180,C08T1,586,426708.9242,4820875.86,4/24/2019,7:04:00
15181,C08T1,586,426707.8921,4820877.537,4/24/2019,7:04:00
15182,C08T1,585,426680.9755,4820906.376,4/24/2019,7:05:00
15183,C08T1,585,426638.4619,4820949.826,4/24/2019,7:06:00
15184,C08T1,573,426594.521,4821010.507,4/24/2019,7:07:00
15185,C08T1,608,426540.6792,4821081.96,4/24/2019,7:08:00
15186,C08T1,618,426525.8124,4821148.544,4/24/2019,7:09:00
15187,C08T1,607,426457.654,4821174.17,4/24/2019,7:10:00
