#V1 V2 V3
1 444.753855104752 4795.79285206912
2 444.621404580702 4795.75128583196
3 444.511514595218 4795.74141217997
4 444.571841405047 4795.6210820019
5 444.568748169156 4795.48094672904
6 444.59035826896 4795.37637140931
7 444.569960367271 4795.26236632235
8 444.553978883911 4795.27182634001
9 444.619375756918 4795.175777885
10 444.683738759275 4795.30053015325
11 444.771414285885 4795.24095181405
12 444.817747818288 4795.15405681345
13 444.764159876414 4795.04754070821
14 444.677713332126 4794.89042680448
15 444.667499251909 4794.78189146908
16 444.615086145028 4794.65104431995
17 444.568118760345 4794.5317034718
18 444.621762377868 4794.51516081941
19 444.532316921462 4794.57753192792
20 444.533882353081 4794.72911890888
21 444.586580958879 4794.78566255823
22 444.640775558096 4794.90627723247
23 444.637977615104 4795.05023664236
24 444.711281533953 4795.15736827694
25 444.706375200133 4795.33133169273
26 444.648281595166 4795.1995310676
27 444.57122117226 4795.27768259214
28 444.530456406235 4795.37064218507
29 444.480549334563 4795.50576959055
30 444.591665758861 4795.52629474795
31 444.724947210978 4795.56974174497
32 444.7978098886 4795.6733238935
33 444.824016722996 4795.7145365648
34 445.873673643698 4795.99616085092
35 445.854825865819 4796.0832730543
36 445.896421461714 4795.90990605932
37 445.891031218181 4795.90517345717
38 445.830429272274 4795.84157513731
39 445.781134192628 4795.7621160237
40 445.826858251162 4795.85137715305
41 445.924318841959 4795.98098503659
42 445.850290140963 4796.08397569148
43 445.910712839813 4795.99342156755
44 445.751424906623 4795.97137259178
45 445.666828689145 4795.89908298971
46 445.561045534246 4795.81441467537
47 445.473399405264 4795.7768033146
48 445.454382648096 4795.66111871876
49 445.48281913752 4795.53650030968
50 445.481353801105 4795.41489921292
51 445.359384906131 4795.33580627105
52 445.434925207333 4795.25923096069
53 445.513126247424 4795.21073380089
54 445.567924761301 4795.23739236995
55 445.580425991415 4795.25894900679
56 445.69611513195 4795.33387588479
57 445.805191138379 4795.43406866203
58 445.879089598033 4795.57785828194
59 445.875360641122 4795.72015840023
60 445.970403624063 4795.81091458184
61 445.963048777643 4795.89538032783
63 443.623316755021 4795.54772381648
64 443.648391816158 4795.56895022776
65 443.63081557428 4795.59119792357
66 443.645159345405 4795.66782278912
67 443.662135236461 4795.63191942537
68 443.7197193345 4795.59312413234
69 443.659062199098 4795.5549786466
70 443.63642650184 4795.53450933479
71 443.646852196372 4795.53986465236
72 443.650864860241 4795.50551294777
73 443.666066680729 4795.44152555367
74 443.641858004556 4795.35876323581
75 443.687568813874 4795.3841495758
76 443.672224528858 4795.48956441225
77 443.669762574437 4795.51535139062
78 443.876703215204 4781.85276691397
79 443.841219410234 4781.92524878707
80 443.7511987345 4781.93765386596
81 443.814038660671 4781.9304709376
82 443.70497869197 4781.95969292955
83 443.642040393234 4781.96476754502
84 443.615482970073 4782.01574210515
85 443.592221455065 4782.11133563082
86 443.528944348046 4782.15373035118
87 443.439613316933 4782.23887833993
88 443.408710958259 4782.38262521923
89 443.460406379636 4782.32566562746
90 443.536177010344 4782.23207880392
